#Al_mole_fraction	Fraction of Fe at Al sites
0.485	0.000114147679252
0.4854	0.000111122791454
0.4858	0.000108098149914
0.4862	0.000105073773434
0.4866	0.000102049682744
0.487	9.90259007555e-05
0.4874	9.60024528699e-05
0.4878	9.29793673363e-05
0.4882	8.99566756748e-05
0.4886	8.69344131793e-05
0.489	8.39126195178e-05
0.4894	8.0891339454e-05
0.4898	7.78706237193e-05
0.4902	7.48505300737e-05
0.4906	7.18311246066e-05
0.491	6.88124833439e-05
0.4914	6.57946942494e-05
0.4918	6.27778597406e-05
0.4922	5.97620998838e-05
0.4926	5.67475564914e-05
0.493	5.37343984435e-05
0.4934	5.07228286837e-05
0.4938	4.77130935512e-05
0.4942	4.47054954227e-05
0.4946	4.17004101423e-05
0.495	3.86983115255e-05
0.4954	3.56998065768e-05
0.4958	3.27056873896e-05
0.4962	2.97170098538e-05
0.4966	2.6735217038e-05
0.497	2.3762340224e-05
0.4974	2.08013417449e-05
0.4978	1.78567323495e-05
0.4982	1.49357584141e-05
0.4986	1.20508750213e-05
0.499	9.22542061478e-06
0.4994	6.5081484653e-06
0.4998	4.01362913002e-06
0.5002	2.01335164743e-06
0.5006	8.5960358623e-07
0.501	3.96225881539e-07
0.5014	2.15670820388e-07
0.5018	1.33619092047e-07
0.5022	9.05103806883e-08
0.5026	6.5282607559e-08
0.503	4.9302137646e-08
0.5034	3.85572391829e-08
0.5038	3.09908422749e-08
0.5042	2.54631987843e-08
0.5046	2.13024732026e-08
0.505	1.80921653017e-08
