#Al_mole_fraction	Fraction of Mo at Al sites
0.485	0.909657588912
0.4854	0.904643278949
0.4858	0.899129069831
0.4862	0.893051262854
0.4866	0.886338230284
0.487	0.878910123566
0.4874	0.870678980732
0.4878	0.861549435611
0.4882	0.851420259914
0.4886	0.840186961661
0.489	0.827745591633
0.4894	0.813997747906
0.4898	0.798856512646
0.4902	0.782252743271
0.4906	0.764140864607
0.491	0.744503195928
0.4914	0.723351997178
0.4918	0.700728835031
0.4922	0.676701428632
0.4926	0.651358638822
0.493	0.624804545512
0.4934	0.597152560349
0.4938	0.568520309852
0.4942	0.539025722041
0.4946	0.508784470976
0.495	0.477908743395
0.4954	0.44650720495
0.4958	0.414686046391
0.4962	0.382551061182
0.4966	0.350210831987
0.497	0.317781285539
0.4974	0.285392132478
0.4978	0.253196074262
0.4982	0.221382162614
0.4986	0.190195282136
0.499	0.159963962985
0.4994	0.131136932132
0.4998	0.104319990301
0.5002	0.0802790647519
0.5006	0.0598318006494
0.501	0.0435577800901
0.5014	0.0314577080136
0.5018	0.0229136708517
0.5022	0.0170252364427
0.5026	0.0129651564217
0.503	0.0101212972521
0.5034	0.00808390487398
0.5038	0.00658854819637
0.5042	0.00546515559348
0.5046	0.00460295474984
0.505	0.00392837504004
