#Al_mole_fraction	Fraction of Ti at Al sites
0.485	0.999999999916
0.4854	0.999999999909
0.4858	0.9999999999
0.4862	0.99999999989
0.4866	0.999999999878
0.487	0.999999999863
0.4874	0.999999999843
0.4878	0.999999999817
0.4882	0.999999999781
0.4886	0.999999999729
0.489	0.999999999646
0.4894	0.999999999498
0.4898	0.999999999186
0.4902	0.999999998378
0.4906	0.9999999962
0.491	0.999999991756
0.4914	0.999999984855
0.4918	0.999999975554
0.4922	0.999999963911
0.4926	0.999999949965
0.493	0.999999933747
0.4934	0.999999915284
0.4938	0.9999998946
0.4942	0.99999987172
0.4946	0.999999846664
0.495	0.999999819456
0.4954	0.999999790117
0.4958	0.999999758667
0.4962	0.999999725127
0.4966	0.999999689518
0.497	0.99999965186
0.4974	0.999999612172
0.4978	0.999999570476
0.4982	0.99999952679
0.4986	0.999999481134
0.499	0.999999433527
0.4994	0.999999383989
0.4998	0.999999332537
0.5002	0.999999279192
0.5006	0.99999922397
0.501	0.999999166892
0.5014	0.999999107975
0.5018	0.999999047236
0.5022	0.999998984695
0.5026	0.999998920368
0.503	0.999998854274
0.5034	0.99999878643
0.5038	0.999998716852
0.5042	0.999998645559
0.5046	0.999998572568
0.505	0.999998497894
